"title","description","price","sale_price","category","variants","image_url"
"Polki Chandbali Traditional Chains","Polki chandbali chain with a traditional finish — perfect for weddings.","4909","3959","Chains","Silver, Gold, Rose Gold","https://loremflickr.com/600/600/chain,gold,jewellery?lock=1001"
"Temple Floral Minimalist Earrings","Temple floral earrings with a minimalist finish — perfect for daily wear.","3759","","Earrings","Oxidised, Gold, Rose Gold, Silver","https://loremflickr.com/600/600/earrings,jewellery?lock=1002"
"Cubic Zirconia Chandbali Ethnic Jewellery Sets","Cubic Zirconia chandbali jewellery set with a ethnic finish — perfect for office wear.","13189","10729","Jewellery Sets","Gold, Rose Gold","https://loremflickr.com/600/600/jewellery,set,bridal,gold?lock=1003"
"Rose Gold Chandbali Handcrafted Brooches","A timeless Rose Gold brooch — chandbali-inspired design that pairs beautifully for gifting.","749","","Brooches","Gold, Silver, Antique","https://loremflickr.com/600/600/brooch,jewellery?lock=1004"
"Rose Gold Infinity Handcrafted Brooches","Handcrafted brooch with intricate infinity detailing and a lightweight Rose Gold body.","969","639","Brooches","Gold, Antique, Silver","https://loremflickr.com/600/600/brooch,jewellery?lock=1005"
"Rose Gold Cluster Bridal Nose Pins","A timeless Rose Gold nose pin — cluster-inspired design that pairs beautifully for parties.","1749","1179","Nose Pins","Silver, Gold, Rose Gold","https://loremflickr.com/600/600/nose,ring,jewellery?lock=1006"
"Beaded Chandbali Office Wear Rings","Beaded chandbali ring with a office wear finish — perfect for parties.","21769","","Rings","8, 12","https://loremflickr.com/600/600/ring,jewellery,diamond?lock=1007"
"Sterling Silver Solitaire Boho Brooches","Boho brooch with intricate solitaire detailing and a lightweight Sterling Silver body.","3679","2419","Brooches","Antique, Silver, Gold","https://loremflickr.com/600/600/brooch,jewellery?lock=1008"
"Beaded Chandbali Bridal Nathiya (Nose Ring)","Elegant bridal nath in Beaded, designed to elevate any parties look.","3089","2339","Nathiya (Nose Ring)","Kundan, Gold","https://loremflickr.com/600/600/nath,jewellery,bridal?lock=1009"
"Filigree Peacock Contemporary Rings","Contemporary ring with intricate peacock detailing and a lightweight Filigree body.","4389","2829","Rings","6, 7, 9, 10","https://loremflickr.com/600/600/ring,jewellery,diamond?lock=1010"
"Meenakari Floral Festive Mangalsutra","Meenakari floral mangalsutra with a festive finish — perfect for gifting.","5749","","Mangalsutra","Rose Gold, Gold","https://loremflickr.com/600/600/mangalsutra,necklace,gold?lock=1011"
"Pearl Floral Party Wear Anklets","Elegant party wear anklet in Pearl, designed to elevate any parties look.","2559","","Anklets","Gold, Silver","https://loremflickr.com/600/600/anklet,silver,jewellery?lock=1012"
"Rose Gold Heart Boho Rings","Rose Gold heart ring with a boho finish — perfect for festive occasions.","18469","","Rings","6, 7, 8, 10","https://loremflickr.com/600/600/ring,jewellery,diamond?lock=1013"
"Rose Gold Jhumka Everyday Nathiya (Nose Ring)","Rose Gold jhumka nath with a everyday finish — perfect for daily wear.","4719","3989","Nathiya (Nose Ring)","Gold, Kundan","https://loremflickr.com/600/600/nath,jewellery,bridal?lock=1014"
"Filigree Heart Festive Rings","Elegant festive ring in Filigree, designed to elevate any anniversaries look.","9479","7299","Rings","7, 10","https://loremflickr.com/600/600/ring,jewellery,diamond?lock=1015"
"Rose Gold Temple Coin Party Wear Chains","A timeless Rose Gold chain — temple coin-inspired design that pairs beautifully for parties.","2879","1779","Chains","Silver, Gold","https://loremflickr.com/600/600/chain,gold,jewellery?lock=1016"
"Kundan Peacock Vintage Necklaces","Vintage necklace with intricate peacock detailing and a lightweight Kundan body.","8999","5479","Necklaces","Gold, Silver, Rose Gold","https://loremflickr.com/600/600/necklace,jewellery,gold?lock=1017"
"American Diamond Leaf Vintage Mangalsutra","American Diamond leaf mangalsutra with a vintage finish — perfect for anniversaries.","9959","","Mangalsutra","Gold, Rose Gold","https://loremflickr.com/600/600/mangalsutra,necklace,gold?lock=1018"
"Cubic Zirconia Temple Coin Office Wear Pendants","Office Wear pendant with intricate temple coin detailing and a lightweight Cubic Zirconia body.","7579","","Pendants","Silver, Gold, Rose Gold","https://loremflickr.com/600/600/pendant,necklace,jewellery?lock=1019"
"Polki Infinity Minimalist Toe Rings","Handcrafted Polki toe ring featuring a infinity motif, ideal for festive occasions.","589","379","Toe Rings","Oxidised, Silver","https://loremflickr.com/600/600/toe,ring,silver?lock=1020"
"Polki Floral Traditional Nose Pins","Traditional nose pin with intricate floral detailing and a lightweight Polki body.","679","","Nose Pins","Gold, Rose Gold","https://loremflickr.com/600/600/nose,ring,jewellery?lock=1021"
"Diamond-Cut Peacock Everyday Bangles","A timeless Diamond-Cut bangle set — peacock-inspired design that pairs beautifully for traditional ceremonies.","3699","3239","Bangles","2.10, 2.6, 2.8","https://loremflickr.com/600/600/bangle,jewellery,gold?lock=1022"
"Temple Infinity Statement Rings","Statement ring with intricate infinity detailing and a lightweight Temple body.","2719","2039","Rings","6, 8, 10, 12","https://loremflickr.com/600/600/ring,jewellery,diamond?lock=1023"
"Kundan Heart Royal Necklaces","A timeless Kundan necklace — heart-inspired design that pairs beautifully for parties.","3739","2949","Necklaces","Rose Gold, Gold","https://loremflickr.com/600/600/necklace,jewellery,gold?lock=1024"
"Sterling Silver Lotus Handcrafted Maang Tikka","Handcrafted Sterling Silver maang tikka featuring a lotus motif, ideal for office wear.","7569","","Maang Tikka","Silver, Kundan, Gold","https://loremflickr.com/600/600/tikka,jewellery,bridal?lock=1025"
"Meenakari Paisley Office Wear Bangles","A timeless Meenakari bangle set — paisley-inspired design that pairs beautifully for festive occasions.","11999","8739","Bangles","2.4, 2.6","https://loremflickr.com/600/600/bangle,jewellery,gold?lock=1026"
"Temple Chandbali Festive Earrings","Elegant festive earrings in Temple, designed to elevate any daily wear look.","2669","","Earrings","Rose Gold, Oxidised","https://loremflickr.com/600/600/earrings,jewellery?lock=1027"
"Jadau Floral Handcrafted Nose Pins","Elegant handcrafted nose pin in Jadau, designed to elevate any festive occasions look.","3029","","Nose Pins","Silver, Gold, Rose Gold","https://loremflickr.com/600/600/nose,ring,jewellery?lock=1028"
"Polki Paisley Vintage Nathiya (Nose Ring)","A timeless Polki nath — paisley-inspired design that pairs beautifully for traditional ceremonies.","5259","3459","Nathiya (Nose Ring)","Gold, Kundan","https://loremflickr.com/600/600/nath,jewellery,bridal?lock=1029"
"Sterling Silver Choker Contemporary Bracelets","Handcrafted Sterling Silver bracelet featuring a choker motif, ideal for traditional ceremonies.","5229","3619","Bracelets","Silver, Rose Gold","https://loremflickr.com/600/600/bracelet,jewellery?lock=1030"
"Cubic Zirconia Floral Festive Mangalsutra","A timeless Cubic Zirconia mangalsutra — floral-inspired design that pairs beautifully for daily wear.","5659","4789","Mangalsutra","Gold, Rose Gold","https://loremflickr.com/600/600/mangalsutra,necklace,gold?lock=1031"
"American Diamond Jhumka Traditional Anklets","Handcrafted American Diamond anklet featuring a jhumka motif, ideal for festive occasions.","3389","","Anklets","Oxidised, Silver","https://loremflickr.com/600/600/anklet,silver,jewellery?lock=1032"
"Cubic Zirconia Paisley Handcrafted Pendants","Handcrafted Cubic Zirconia pendant featuring a paisley motif, ideal for office wear.","2439","","Pendants","Rose Gold, Gold","https://loremflickr.com/600/600/pendant,necklace,jewellery?lock=1033"
"Cubic Zirconia Teardrop Boho Toe Rings","Handcrafted Cubic Zirconia toe ring featuring a teardrop motif, ideal for parties.","739","589","Toe Rings","Silver, Oxidised","https://loremflickr.com/600/600/toe,ring,silver?lock=1034"
"Beaded Jhumka Ethnic Brooches","Elegant ethnic brooch in Beaded, designed to elevate any office wear look.","2259","1769","Brooches","Silver, Antique, Gold","https://loremflickr.com/600/600/brooch,jewellery?lock=1035"
"Diamond-Cut Solitaire Designer Chains","Diamond-Cut solitaire chain with a designer finish — perfect for anniversaries.","16289","13769","Chains","Gold, Rose Gold, Silver","https://loremflickr.com/600/600/chain,gold,jewellery?lock=1036"
"Antique Geometric Office Wear Pendants","Office Wear pendant with intricate geometric detailing and a lightweight Antique body.","3649","","Pendants","Rose Gold, Gold","https://loremflickr.com/600/600/pendant,necklace,jewellery?lock=1037"
"Temple Choker Ethnic Mangalsutra","Elegant ethnic mangalsutra in Temple, designed to elevate any gifting look.","4289","","Mangalsutra","Rose Gold, Gold","https://loremflickr.com/600/600/mangalsutra,necklace,gold?lock=1038"
"Cubic Zirconia Layered Ethnic Chains","A timeless Cubic Zirconia chain — layered-inspired design that pairs beautifully for gifting.","12319","7829","Chains","Silver, Rose Gold, Gold","https://loremflickr.com/600/600/chain,gold,jewellery?lock=1039"
"Gold-Plated Jhumka Statement Anklets","Statement anklet with intricate jhumka detailing and a lightweight Gold-Plated body.","2119","1619","Anklets","Oxidised, Gold, Silver","https://loremflickr.com/600/600/anklet,silver,jewellery?lock=1040"
"Filigree Heart Boho Mangalsutra","Handcrafted Filigree mangalsutra featuring a heart motif, ideal for gifting.","4779","3759","Mangalsutra","Rose Gold, Gold","https://loremflickr.com/600/600/mangalsutra,necklace,gold?lock=1041"
"Temple Floral Bridal Bangles","A timeless Temple bangle set — floral-inspired design that pairs beautifully for parties.","1759","1289","Bangles","2.10, 2.6","https://loremflickr.com/600/600/bangle,jewellery,gold?lock=1042"
"Diamond-Cut Layered Party Wear Jewellery Sets","Handcrafted Diamond-Cut jewellery set featuring a layered motif, ideal for traditional ceremonies.","18989","15049","Jewellery Sets","Rose Gold, Gold","https://loremflickr.com/600/600/jewellery,set,bridal,gold?lock=1043"
"Oxidised Silver Geometric Everyday Necklaces","A timeless Oxidised Silver necklace — geometric-inspired design that pairs beautifully for anniversaries.","16459","12019","Necklaces","Silver, Rose Gold, Gold","https://loremflickr.com/600/600/necklace,jewellery,gold?lock=1044"
"Beaded Heart Everyday Brooches","Elegant everyday brooch in Beaded, designed to elevate any traditional ceremonies look.","4289","3479","Brooches","Silver, Antique, Gold","https://loremflickr.com/600/600/brooch,jewellery?lock=1045"
"Jadau Chandbali Minimalist Earrings","Minimalist earrings with intricate chandbali detailing and a lightweight Jadau body.","5999","4509","Earrings","Rose Gold, Gold","https://loremflickr.com/600/600/earrings,jewellery?lock=1046"
"Temple Choker Contemporary Jewellery Sets","Contemporary jewellery set with intricate choker detailing and a lightweight Temple body.","29709","21699","Jewellery Sets","Gold, Rose Gold","https://loremflickr.com/600/600/jewellery,set,bridal,gold?lock=1047"
"Diamond-Cut Floral Party Wear Brooches","Handcrafted Diamond-Cut brooch featuring a floral motif, ideal for gifting.","3279","2319","Brooches","Antique, Gold, Silver","https://loremflickr.com/600/600/brooch,jewellery?lock=1048"
"Filigree Layered Traditional Anklets","Handcrafted Filigree anklet featuring a layered motif, ideal for weddings.","3149","","Anklets","Gold, Silver, Oxidised","https://loremflickr.com/600/600/anklet,silver,jewellery?lock=1049"
"Diamond-Cut Floral Handcrafted Nathiya (Nose Ring)","Elegant handcrafted nath in Diamond-Cut, designed to elevate any anniversaries look.","2169","1379","Nathiya (Nose Ring)","Gold, Kundan","https://loremflickr.com/600/600/nath,jewellery,bridal?lock=1050"
"Temple Solitaire Party Wear Pendants","Temple solitaire pendant with a party wear finish — perfect for traditional ceremonies.","3259","","Pendants","Rose Gold, Silver, Gold","https://loremflickr.com/600/600/pendant,necklace,jewellery?lock=1051"
"Sterling Silver Teardrop Ethnic Necklaces","Handcrafted Sterling Silver necklace featuring a teardrop motif, ideal for weddings.","3749","","Necklaces","Gold, Silver, Rose Gold","https://loremflickr.com/600/600/necklace,jewellery,gold?lock=1052"
